ArtikelNr,groesse,ReferenzNr,Index,Bestand
5813,"14,0 UK",997,10,
5813,"5,0 UK",998,1,
5813,"6,0 UK",999,2,1.0
5813,"7,0 UK",1000,3,1.0
5813,"8,0 UK",1001,4,1.0
5813,"9,0 UK",1002,5,2.0
5814,"28,0 EUR",1005,0,
5815,"4,5 UK",1011,2,1.0
5815,"5,0 UK",1012,3,
5815,"5,5 UK",1013,4,2.0
5815,"6,0 UK",1014,5,2.0
5815,"6,5 UK",1015,6,1.0
5815,"7,0 UK",1016,7,1.0
5815,"7,5 UK",1017,8,
5815,"8,0 UK",1018,9,
5816,"5,0 UK",1021,1,
5816,"5,5 UK",1022,2,
5816,"6,0 UK",1023,3,
5818,"10,0 UK",1028,8,1.0
5818,"10,5 UK",1029,9,1.0
5818,"11,0 UK",1030,10,2.0
5818,"11,5 UK",1031,11,1.0
5818,"12,0 UK",1032,12,1.0
5818,"7,5 UK",1034,3,
5818,"8,0 UK",1035,4,
5818,"8,5 UK",1036,5,1.0
5818,"9,0 UK",1037,6,1.0
5818,"9,5 UK",1038,7,1.0
5819,"10,5 UK",1040,2,
5819,"12,0 UK",1043,3,
5819,"8,5 UK",1045,0,
5819,"9,5 UK",1047,1,
5821,"10,0 UK",1050,10,
5821,"10,5 UK",1051,11,
5821,"11,0 UK",1052,12,
5821,"11,5 UK",1053,13,
5821,"12,0 UK",1054,14,
5821,"8,0 UK",1056,6,
5821,"8,5 UK",1057,7,
5821,"9,0 UK",1058,8,
5821,"9,5 UK",1059,9,
5822,"14,0 UK",1061,0,
5824,"10,0 UK",1064,6,
5824,"10,5 UK",1065,7,
5824,"11,0 UK",1066,8,
5824,"11,5 UK",1067,9,
5824,"12,0 UK",1068,10,
5824,"6,0 UK",1073,0,
5824,"7,5 UK",1076,1,
5824,"8,0 UK",1077,2,
5824,"8,5 UK",1078,3,
5824,"9,0 UK",1079,4,
5824,"9,5 UK",1080,5,
5849,-,1134,0,
5856,"35 Liter",1140,0,
5857,"59 Liter",1142,0,
5861,M,1146,0,
5864,-,1150,0,
5892,"4 Liter",1193,0,1.0
5893,"10 Liter",1195,0,8.0
5895,"10 Liter",1198,0,
5896,-,1199,0,
5897,"5 Liter",1201,0,
5898,"10 Liter",1203,0,1.0
5899,-,1204,0,
5900,-,1205,0,
5901,-,1206,0,
5902,-,1207,0,
5903,-,1208,0,
5904,-,1209,0,
5905,M,1211,0,
5906,L,1213,0,
5907,-,1214,0,
5928,"75 cm",1232,1,
5966,-,1269,0,
5968,-,1271,0,
5969,-,1272,0,
5971,-,1273,0,
5972,-,1274,0,
5973,-,1275,0,
5974,-,1276,0,
5975,-,1277,0,
5976,-,1278,0,
5977,-,1279,0,
5978,-,1280,0,7.0
5979,-,1281,0,4.0
5980,-,1282,0,
5982,-,1284,0,
5983,-,1285,0,
5985,-,1287,0,
5986,-,1288,0,
5987,-,1289,0,
5988,-,1290,0,
5989,-,1291,0,
5990,-,1292,0,
5991,-,1293,0,
5992,-,1294,0,
5994,-,1296,0,
5996,-,1298,0,
5998,-,1300,0,
6004,-,1306,0,
6005,-,1307,0,
6007,-,1309,0,1.0
6010,-,1312,0,
6011,-,1313,0,
6012,-,1314,0,
6014,-,1316,0,
6015,-,1317,0,
6017,-,1319,0,
29056,-,1320,1,
6019,-,1321,0,
6020,-,1322,0,
6021,-,1323,0,
6022,-,1324,0,
6026,-,1328,0,
6028,-,1330,0,
6029,-,1331,0,
6030,-,1332,0,
6031,-,1333,0,
6032,-,1334,0,
6033,-,1335,0,
6034,-,1336,0,
6035,-,1337,0,
6036,-,1338,0,
6037,-,1339,0,
6039,-,1341,0,
6040,-,1342,0,
6049,-,1348,0,
6050,-,1349,0,
6052,-,1351,0,
6053,-,1352,0,
6054,-,1353,0,
6055,-,1354,0,
6056,-,1355,0,
6057,-,1356,0,
6058,-,1357,0,
6059,-,1358,0,
6062,-,1361,0,
6063,-,1362,0,
6064,-,1363,0,
6065,-,1364,0,
6066,-,1365,0,
6067,-,1366,0,
6068,-,1367,0,
23646,-,1368,1,
6070,-,1369,0,
6072,-,1371,0,
6074,-,1373,0,2.0
6075,-,1374,0,
6076,-,1375,0,
6077,-,1376,0,
6078,-,1377,0,
6080,-,1379,0,
6081,-,1380,0,
6082,-,1381,0,
6083,-,1382,0,
6084,-,1383,0,
6085,-,1384,0,10.0
6087,-,1386,0,
6088,-,1387,0,
6089,-,1388,0,1.0
6090,-,1389,0,
6091,-,1390,0,
6092,-,1391,0,10.0
6093,"1000 ml",1393,0,
6098,-,1396,0,
6099,-,1397,0,
6101,-,1399,0,1.0
6102,-,1400,0,
6103,-,1401,0,
6104,-,1402,0,
6105,-,1403,0,
6106,-,1404,0,1.0
6107,-,1405,0,
6111,-,1409,0,
6118,-,1415,0,
6120,-,1418,0,4.0
6124,-,1422,0,
6125,-,1423,0,
6126,-,1424,0,
6127,-,1425,0,
6130,-,1428,0,
6131,-,1429,0,
6135,-,1433,0,
6136,-,1434,0,
6140,-,1437,0,
6141,-,1438,0,
6147,-,1445,0,
6148,-,1446,0,
6154,"350 ml",1454,0,
6158,"300 ml",1459,0,
6160,-,1462,0,
6161,-,1463,0,
6162,-,1464,0,
6163,-,1465,0,
6164,-,1466,0,
6165,-,1467,0,
6169,-,1471,0,
6173,-,1475,0,
6174,-,1476,0,
6175,-,1477,0,18.0
6176,-,1478,0,
6181,-,1483,0,
6182,-,1484,0,
6183,-,1485,0,2.0
6203,-,1504,0,
6214,-,1515,0,
6216,"6 Liter",1518,0,
6217,"10 Liter",1520,0,
6218,"20 Liter",1522,0,
6227,-,1531,0,
6228,-,1532,0,
6229,-,1533,0,
6231,-,1535,0,
6233,-,1537,0,
6234,-,1538,0,
6236,-,1540,0,1.0
6238,-,1542,0,
6239,-,1543,0,
6241,-,1545,0,
6242,-,1546,0,10.0
6243,-,1547,0,
6244,-,1548,0,
6247,-,1551,0,
6248,-,1552,0,2.0
6252,-,1556,0,
6254,-,1558,0,
6255,-,1559,0,
6256,-,1560,0,
6263,"160 cm",1565,0,
6264,"250 cm",1568,0,
6265,"5 Meter",1570,0,
6266,-,1571,0,
6267,-,1572,0,
6269,-,1574,0,
6271,-,1576,0,
6272,-,1577,0,
6273,-,1578,0,1.0
6275,-,1580,0,
6277,-,1582,0,1.0
6278,-,1583,0,1.0
6280,-,1585,0,
6283,-,1588,0,
6284,-,1589,0,
6287,-,1592,0,
6290,-,1595,0,11.0
6291,-,1596,0,
6292,-,1597,0,
6293,-,1598,0,
6296,-,1600,0,
6299,-,1603,0,5.0
6300,-,1604,0,
6307,-,1610,0,
6308,-,1611,0,1.0
6309,-,1612,0,
6311,-,1614,0,
6314,-,1617,0,
6318,"3 Personen",1621,0,
6326,-,1628,0,1.0
6352,-,1652,0,
6360,-,1663,0,1.0
6361,-,1664,0,1.0
6362,-,1665,0,
6363,-,1666,0,
6366,"1,4 Liter",1670,0,2.0
6367,"900 ml",1672,0,9.0
6369,-,1674,0,
6370,-,1675,0,
6371,"1000 ml",1677,0,1.0
6372,"500 ml",1679,0,
6373,-,1680,0,
6374,-,1681,0,1.0
6377,-,1685,0,2.0
6378,-,1686,0,3.0
6379,-,1687,0,2.0
6385,-,1692,0,
6387,-,1694,0,
6391,"100 cm",1698,0,117.0
6392,"150 cm",1699,0,27.0
6393,"200 cm",1701,0,9.0
6399,S,1710,0,
6399,XL,1711,3,
6402,"450 ml",1721,0,
6403,"700 ml",1722,0,
6404,"1,0 Liter",1723,0,
6470,"2 Liter",1847,0,
6474,L,1851,1,
6474,M,1852,0,
6476,L,1857,0,
6480,"200 g",1865,0,
6486,"200 g",1875,1,
6489,"200 g",1880,0,
6490,"200 g",1882,0,
6491,"200 g",1884,0,
6501,"500 g",1897,0,
6507,-,1903,0,
6508,-,1904,0,
6509,-,1905,0,
6517,-,1913,0,
6525,-,1921,0,
6535,S,1933,0,
6539,universal,1941,0,
6568,L,1958,0,
6568,XL,1960,1,
6577,-,1976,0,
6578,-,1977,0,
6582,-,1981,0,
6589,-,1988,0,
6598,-,1997,0,
6599,-,1998,0,
6603,-,2002,0,
6605,"36 Damen",2006,2,
6605,"56 Herren",2010,1,
6632,XXS,2048,0,
6633,XS,2050,0,
6635,M,2054,0,
6636,L,2056,0,
6640,"200 cm",2060,0,
6642,M,2063,0,1.0
6643,L,2065,1,1.0
6646,S,2070,0,
6663,-,2087,0,
6667,S,2092,0,
6668,M,2094,0,
6669,L,2096,0,
6676,M,2104,0,
6677,L,2106,0,
6678,XL,2108,0,
6682,-,2112,0,16.0
6683,"600 ml",2114,0,
6684,"1,0 Liter",2116,0,
6685,"1,5 Liter",2118,0,
6695,-,2130,0,
6704,"250 ml",2141,0,
6705,"500 ml",2143,0,
6706,"1000 ml",2145,0,
6707,"30 ml",2147,0,8.0
6708,"60 ml",2149,0,
6709,"125 ml",2151,0,
6710,"250 ml",2153,0,
6712,"1000 ml",2156,0,
6722,-,2170,0,
6731,L,2204,0,
6746,S,2235,0,
6749,L,2240,0,
6749,XL,2244,1,
6750,L,2246,1,
6750,S,2248,0,
6750,XL,2249,2,
6750,XXL,2250,3,
6753,L,2260,1,
6753,M,2262,0,
6753,XL,2264,2,
6753,XXL,2265,3,
6775,L,2354,1,
6775,S,2357,0,
6794,-,2391,0,
6797,-,2394,0,
6803,"40 Liter",2399,0,
6804,"5 Liter",2401,0,
6810,"30 Liter",2408,0,
6811,"40 Liter",2410,0,
6812,"40 Liter",2411,0,
6834,-,2429,0,
6839,"20 Liter",2436,0,1.0
6840,"26 Liter",2437,0,
6841,"68 Liter",2439,0,
6850,-,2448,0,
6853,-,2451,0,
6860,"3 Personen",2458,0,
6861,"3 Personen",2459,0,
6865,-,2462,0,
6872,-,2468,0,
6873,-,2469,0,
6874,-,2470,0,
6876,-,2472,0,
6881,-,2477,0,
6886,-,2482,0,
6887,-,2483,0,
6890,-,2486,0,
6892,-,2488,0,
6893,-,2489,0,
6910,"1,2 Liter",2509,0,
6914,"500 ml",2514,0,
6917,"300 ml",2517,0,
6918,"1000 ml",2519,0,
6919,"300 ml",2521,0,
6920,"1000 ml",2523,0,
6926,"300 ml",2533,0,
6929,"100 ml",2538,0,
6938,-,2547,0,
6946,-,2554,0,
6951,-,2558,0,3.0
6960,-,2566,0,
6961,-,2567,0,
6976,-,2583,0,
6978,-,2584,0,
6981,-,2589,1,
6981,"30 Liter",2590,0,
7001,-,2609,0,
7003,-,2611,0,
7015,S,2659,0,
7015,XL,2660,1,
7015,XXL,2661,2,
7019,M,2679,2,
7019,S,2680,1,
7019,XL,2681,3,
7024,L,2699,2,
7024,S,2701,0,
7028,L,2715,2,
7028,M,2716,1,
7028,S,2717,0,
7028,XL,2718,3,
7028,XXL,2719,4,
7032,L,2734,3,
7032,XL,2737,4,
7036,L,2744,0,
7065,M,2829,1,
7065,S,2830,0,
7069,"50 Herren",2873,1,
7069,"54 Herren",2875,2,
7069,"56 Herren",2876,3,
7070,"52 Herren",2886,0,
7118,universal,3013,0,
7126,"128 Kinder",3023,0,
7126,"140 Kinder",3024,1,
7127,"128 Kinder",3029,0,
7128,"116 Kinder",3035,0,
7128,"128 Kinder",3036,1,
7128,"140 Kinder",3037,2,
7128,"152 Kinder",3038,3,
7128,"164 Kinder",3039,4,
7139,"128 Kinder",3056,0,
7155,L,3087,0,
7155,XL,3089,1,
7171,"2 Personen",3123,0,
7173,"2 Personen",3125,0,
7211,-,3152,0,
7221,"4,5 UK",3164,0,
7221,"5,0 UK",3165,1,
7221,"5,5 UK",3166,2,
7221,"6,0 UK",3167,3,
7221,"6,5 UK",3168,4,
7221,"7,0 UK",3169,5,
7221,"7,5 UK",3170,6,
7222,"8,0 UK",3175,0,
7233,-,3201,0,
7249,-,3216,0,
7251,-,3218,0,
7252,-,3219,0,
7256,-,3223,0,
7260,-,3227,0,
7262,-,3229,0,
7268,-,3234,0,
7273,-,3239,0,
7275,-,3241,0,
7278,-,3244,0,
7279,-,3245,0,
7281,-,3246,0,
7284,-,3249,0,
7285,-,3250,0,
7286,-,3251,0,
7288,-,3253,0,
7290,-,3255,0,
7293,-,3258,0,
7297,-,3262,0,
7298,-,3263,0,
7307,-,3271,0,
7317,-,3281,0,
7318,-,3282,0,
7319,-,3283,0,
7320,-,3284,0,
7321,-,3285,0,
7322,-,3286,0,3.0
7323,-,3287,0,3.0
7324,-,3288,0,4.0
7325,-,3289,0,2.0
7327,-,3291,0,
7328,-,3292,0,
7331,-,3295,0,
7332,-,3296,0,1.0
7338,-,3300,0,
7345,-,3307,0,
7346,-,3308,0,
7347,-,3309,0,
7348,-,3310,0,
7353,-,3314,0,
7357,-,3317,0,1.0
7360,-,3320,0,
7362,-,3322,0,
7363,-,3323,0,
7366,-,3326,0,
7367,-,3327,0,
7368,-,3328,0,
7370,-,3330,0,
7372,-,3332,0,
7374,-,3334,0,
7381,-,3338,0,
7382,-,3339,0,
7387,-,3343,0,
7392,-,3347,0,
7396,-,3351,0,
7397,-,3352,0,5.0
7398,-,3353,0,
7399,-,3354,0,
7400,-,3355,0,
7401,-,3356,0,
7402,-,3357,0,
7403,-,3358,0,
21397,-,3359,0,
7412,-,3367,0,
7413,-,3368,0,
7414,-,3369,0,
7421,S,3400,0,
7426,"1000 ml",3414,0,
7470,39-41,3487,0,
7470,42-43,3489,1,
7470,44-45,3490,2,
7965,46-48,3491,3,
7493,XXL,3556,0,
7542,"9,0 UK",3633,0,
7543,S,3634,0,
7544,M,3635,0,
7549,-,3640,0,
7561,-,3650,0,
7563,-,3651,0,
7569,-,3656,0,
7578,XL,3667,0,
7623,42-43,3738,0,
7624,-,3741,0,
7647,L,3784,0,
7647,XL,3787,1,
7648,XL,3788,3,
7663,"10,0 USA Damen",3809,5,
7663,"11,0 USA Damen",3810,6,
7663,"6,0 USA Damen",3813,1,
7663,"7,0 USA Damen",3814,2,
7663,"8,0 USA Damen",3815,3,
7663,"9,0 USA Damen",3816,4,
7667,-,3820,0,
7676,-,3832,0,
7678,-,3834,0,
7679,-,3835,0,
7693,L,3846,0,
7697,-,3849,0,2.0
7725,-,3881,0,
7731,-,3885,0,
7733,-,3887,0,
7736,-,3890,0,
7737,-,3891,0,
7749,-,3904,0,
7750,-,3905,0,
7761,-,3924,0,1.0
7762,-,3925,0,
7777,"150 cm",3935,0,
7779,-,3937,0,
7780,-,3938,0,
7784,-,3956,0,
7790,-,3971,0,
7793,-,3972,0,
7800,-,3986,0,
7807,-,3991,0,
7809,-,3993,0,
7810,-,3994,0,
7817,-,4000,0,1.0
37313,-,4003,1,
7838,L,4020,1,
7838,M,4021,0,
7838,XL,4023,2,
7838,XXL,4024,3,
7843,-,4028,0,
7846,-,4030,0,
7847,-,4031,0,
7861,-,4044,0,
7869,-,4053,0,
7890,M,4080,0,
7915,-,4149,0,
7956,-,4204,0,1.0
7965,39-41,4219,0,
7965,42-43,4221,1,
7965,44-45,4222,2,
7966,39-41,4225,0,
7966,42-43,4227,1,
7966,44-45,4228,2,
7966,46-48,4229,3,
7972,XL,4249,3,
24243,-,4281,1,
8025,"59 cm",4377,0,
8041,L,4414,2,
8041,M,4415,1,
8041,S,4416,0,
8041,XL,4417,3,
8041,XXL,4418,4,
8043,L,4423,2,
8043,M,4424,1,
8043,S,4425,0,
8043,XL,4426,3,
8043,XXL,4427,4,
8048,-,4438,0,
8049,XL,4441,0,
8057,L,4470,3,
8057,XL,4473,4,
8060,XL,4484,3,
8060,XXL,4485,4,
8100,L,4561,2,
8100,M,4562,1,
8100,S,4563,0,
8100,XL,4564,3,
8118,"77 Liter",4604,0,
8142,-,4624,0,
8147,-,4633,0,4.0
8170,"30 Liter",4660,0,
8183,-,4678,0,
8185,-,4679,0,
8189,-,4683,0,
8217,"11,0 UK",4751,0,
8232,"10,5 UK",4767,5,
8232,"11,5 UK",4769,6,
8232,"5,0 UK",4772,0,
8232,"6,5 UK",4775,1,
8232,"8,0 UK",4778,2,
8232,"8,5 UK",4779,3,
8232,"9,0 UK",4780,4,
8238,-,4787,0,
8243,-,4792,0,
8244,-,4793,0,
8267,-,4815,0,
8279,"46 Herren",4828,1,
8279,"48 Herren",4829,2,
8279,"50 Herren",4830,3,
8279,"52 Herren",4831,4,
8279,"54 Herren",4832,5,
8279,"56 Herren",4833,6,
8279,"58 Herren",4834,7,
8288,-,4841,0,
8305,universal,4870,0,
8306,universal,4872,0,
8320,35-36,4895,0,
8320,41-42,4898,3,
8321,41-42,4902,0,
8322,35-36,4903,0,
8322,37-38,4904,1,
8322,39-40,4905,2,
8322,41-42,4906,3,
8323,27-30,4907,1,
8323,31-34,4908,2,
8324,27-30,4909,0,
8324,31-34,4910,1,
8333,37-38,4926,1,
8337,39-42,4939,2,
8339,31-34,4942,0,
8340,"24 cm",4943,0,9.0
8359,-,4962,0,
8372,-,4973,0,
8376,-,4979,0,
8383,-,4985,0,
8386,"22 Liter",4988,0,
8393,"50 ml",4995,0,
8399,-,5001,0,
8413,"164 Kinder",5018,0,
8417,L,5020,0,
8439,39-41,5046,0,
8439,44-45,5048,2,
8439,46-48,5049,3,
8443,"18 Liter",5053,0,
8470,"13,0 USA Men",5105,0,
8470,"14,0 USA Men",5106,1,
8477,"195 cm",5123,0,
8492,-,5139,0,
8501,"5,0 UK",5151,0,
8501,"5,5 UK",5152,1,
8501,"6,0 UK",5153,2,
8501,"6,5 UK",5154,3,
8501,"7,0 UK",5155,4,
8501,"7,5 UK",5156,5,
8501,"8,0 UK",5157,6,
8501,"9,0 UK",5159,7,
8501,"9,5 UK",5160,8,
8515,"10,0 UK",5183,1,
8515,"12,0 UK",5185,2,
8515,"9,0 UK",5188,0,
8524,-,5192,0,
8535,-,5206,0,
8545,"8 Liter",5219,0,
8555,XL,5230,0,
8558,-,5233,0,
8559,-,5235,0,
8560,-,5236,0,
8575,-,5251,0,
8577,-,5253,0,
8580,M,5256,0,
8596,-,5271,0,
8597,-,5272,0,
8598,-,5273,0,
8600,-,5275,0,
8601,-,5276,0,2.0
8602,-,5277,0,2.0
8603,-,5278,0,6.0
8604,-,5279,0,
8607,-,5282,0,1.0
8609,-,5284,0,
8614,-,5288,0,
8656,-,5335,0,4.0
8665,-,5343,0,1.0
8667,-,5344,0,
8668,-,5345,0,1.0
8686,-,5355,0,
8695,"30 Liter",5367,0,
8715,L,5399,2,
8715,M,5401,1,
8715,S,5402,0,
8715,XL,5403,3,
8715,XXL,5404,4,
8727,"40 Damen",5443,0,
8729,"38 Damen",5450,0,
8730,M,5454,0,
8735,L,5467,0,
8735,XL,5469,1,
8745,"35 Liter",5478,0,
8747,"30 Liter",5480,0,
8749,"50 Liter",5482,0,
8779,-,5514,0,
8782,-,5517,0,
8788,"3 Personen",5523,0,
8799,M,5543,0,
8815,"36 Damen",5602,1,
8815,"40 Damen",5604,2,
8816,XL,5614,0,
8817,L,5616,1,
8817,S,5618,0,
8817,XL,5619,2,
8831,L,5664,2,
8831,M,5665,1,
8831,S,5666,0,
8834,-,5670,0,
8837,"1 Person",5672,0,
8845,"11 Liter",5682,0,
8850,"19 Liter",5686,0,
8851,-,5687,0,
8853,XXL,5689,1,
8858,-,5694,0,
8861,"89 Liter",5696,0,
8880,M,5714,0,
8884,M,5726,0,
8906,"50 Herren",5790,0,
8911,L,5800,2,
8911,M,5801,1,
8927,XL,5838,0,
8928,XXL,5842,0,
8930,-,5844,0,2.0
8942,M,5872,0,
8950,XL,5888,0,
8978,-,5943,0,
8984,M,5951,0,
8984,XL,5953,1,
8985,XL,5957,0,
8991,M,5978,0,
9051,L,6127,0,
9053,XL,6136,0,
9054,M,6138,0,
9077,L,6185,1,
9077,M,6186,0,
9078,L,6187,1,
9078,M,6188,0,
9082,-,6197,0,
9089,"300 ml",6208,0,
9092,"12,0 UK",6215,0,
9103,"180 cm",6231,0,
9104,"195 cm",6232,0,
9105,"180 cm",6233,0,
9106,"195 cm",6234,0,
9114,-,6248,0,5.0
9116,-,6250,0,
9117,-,6251,0,
9119,-,6253,0,
9138,"200 g",6268,0,
9155,-,6301,0,
9181,-,6341,0,
9193,-,6352,0,
9196,-,6356,0,
9197,-,6357,0,
9215,"28,0 EUR",6386,0,
9227,-,6402,0,2.0
9229,-,6403,0,
9231,"20 cm",6405,0,
9234,"22 cm",6410,0,
9251,-,6429,0,
9253,-,6431,0,
9257,-,6435,0,
9267,-,6442,0,
9269,-,6443,0,
9280,-,6453,0,
9284,-,6457,0,
9285,-,6458,0,
9286,-,6459,0,
9290,-,6463,0,
9299,"50 Meter",6472,0,
9311,S,6482,0,
9318,"195 cm",6488,0,
9321,-,6491,0,
9333,-,6497,0,
9338,universal,6503,0,
9340,"140 Kinder",6505,1,
9342,-,6507,0,
9345,-,6510,0,
9357,"750 ml",6517,0,
9359,"750 ml",6518,0,
9363,-,6522,0,
9366,-,6525,0,
9379,-,6534,0,
9384,-,6541,0,
9388,-,6544,0,
9394,-,6552,0,
9395,-,6553,0,2.0
9400,-,6558,0,
9404,-,6562,0,
9418,-,6575,0,
9422,-,6578,0,
9424,-,6579,0,
9426,-,6581,0,
9427,-,6582,0,1.0
9430,-,6585,0,
9434,-,6589,0,
9445,-,6592,0,
9451,-,6598,0,
9453,-,6600,0,
9464,-,6615,0,
9483,XS,6656,0,
9488,M,6674,0,
9490,L,6680,0,
9490,XL,6682,1,
9491,"52 Herren",6690,0,
9491,"56 Herren",6692,1,
9502,-,6720,0,
9504,-,6721,0,
9505,-,6722,0,
24833,-,6723,1,
9507,-,6724,0,
9511,-,6728,0,
9512,-,6729,0,
9513,-,6730,0,2.0
9514,-,6731,0,
9519,-,6736,0,
9521,-,6738,0,
9525,M,6744,0,
9535,S,6767,0,
9538,"46 Herren",6779,0,
9538,"52 Herren",6782,1,
9538,"54 Herren",6783,2,
9539,"54 Herren",6789,0,
9544,"46 Herren",6808,0,
9547,"38 Damen",6819,0,
9550,S,6833,0,
9569,M,6860,1,
9569,S,6861,0,
9569,XL,6862,2,
9569,XXL,6863,3,
9572,L,6869,2,
9572,M,6870,1,
9572,S,6871,0,
9572,XL,6872,3,
9572,XXL,6873,4,
9573,L,6874,0,
9573,XXL,6879,1,
9574,M,6881,0,
9575,M,6884,1,
9575,S,6885,0,
9575,XL,6886,2,
9595,-,6929,0,
9597,"195 cm",6930,0,
9599,L,6932,2,
9599,M,6933,1,
9599,S,6935,0,
9599,XL,6936,3,
9600,"42 Damen",6937,0,
9613,XL,6977,0,
9619,L,6985,0,
9619,XL,6987,1,
9624,"72 Liter",6995,0,
9625,"77 Liter",6997,0,
9626,"61 Liter",6999,0,
9627,"65 Liter",7001,0,
9628,"70 Liter",7003,0,
9639,L,7013,0,
9641,S,7022,0,
9643,-,7027,0,
9651,"3 Liter",7045,0,
9653,universal,7047,0,
9655,universal,7049,0,
9656,universal,7050,0,
9657,universal,7051,0,
9658,universal,7052,0,
9664,-,7058,0,
9667,-,7060,0,
9671,-,7064,0,
9702,L,7141,1,
9702,S,7144,0,
9710,L,7170,0,
9719,L,7197,3,
9719,M,7198,1,
9719,M,7199,2,
9719,S,7200,0,
9719,XL,7201,4,
9727,-,7219,0,
9728,"30 Liter",7220,0,
9730,"30 Liter",7222,0,
9741,-,7233,0,
9746,M,7245,0,
9749,XXL,7259,0,
9750,M,7261,0,
9754,S,7271,0,
9756,L,7277,2,
9756,M,7278,1,
9756,S,7279,0,
9756,XL,7280,3,
9772,-,7302,0,
9776,35-36,7307,0,
9776,37-38,7308,1,
9776,39-40,7309,2,
9776,41-42,7310,3,
9781,S,7315,0,
9790,"48 Herren",7347,0,
9790,"50 Herren",7348,1,
9790,"52 Herren",7349,2,
9796,"128 Kinder",7358,0,
9796,"164 Kinder",7361,1,
9797,"7 Handschuhe",7364,0,
9798,M,7367,0,
9803,"36 Damen",7386,0,
9803,"42 Damen",7389,1,
9809,XL,7411,0,
9811,XL,7421,0,
9812,L,7424,1,
9812,XS,7429,0,
9816,-,7434,0,
9833,M,7463,0,
9839,"40 Damen",7488,0,
9840,XL,7494,0,
9849,L,7516,1,
9849,S,7518,0,
9859,"25 Liter",7530,0,
9863,"25 Liter",7534,0,
9879,"500 ml",7551,0,
9880,"750 ml",7552,0,
9881,"750 ml",7553,0,
9883,"750 ml",7555,0,
9884,"1000 ml",7556,0,
9897,-,7570,0,
9898,"10,0 UK",7571,4,
9898,"10,5 UK",7572,5,
9898,"11,0 UK",7573,6,
9898,"11,5 UK",7574,7,
9898,"12,0 UK",7575,8,
9898,"6,5 UK",7579,0,
9898,"7,0 UK",7580,1,
9898,"8,0 UK",7582,2,
9898,"8,5 UK",7583,3,
9899,"11,0 UK",7588,4,
9899,"12,0 UK",7590,5,
9899,"5,0 UK",7591,0,
9899,"6,0 UK",7593,1,
9899,"6,5 UK",7594,2,
9899,"7,5 UK",7596,3,
9904,"11,0 UK",7634,1,
